Date,BLK,AXP,JPM,GS,SCHW,WFC,COF,C,MS,BAC
2022-09-08,632.1423950195312,146.54698181152344,108.12895202636719,306.04779052734375,69.35755157470703,41.113426208496094,99.64391326904297,43.795196533203125,78.28939819335938,31.499187469482422
2022-09-09,635.3766479492188,151.24356079101562,108.64862823486328,310.35491943359375,70.66583251953125,41.20432662963867,101.40388488769531,44.471004486083984,79.19230651855469,31.7628173828125
2022-09-12,636.60986328125,155.0714111328125,109.93413543701172,312.6180419921875,71.02607727050781,41.3861198425293,102.780029296875,44.64653396606445,79.80310821533203,32.06280517578125
2022-09-13,589.1936645507812,148.2938995361328,106.11405944824219,299.66912841796875,69.1584701538086,39.2863655090332,94.58870697021484,43.00530242919922,77.0589370727539,30.908294677734375
2022-09-14,587.9786987304688,149.20074462890625,105.86793518066406,298.6379699707031,68.96886444091797,39.34090805053711,94.2236099243164,42.50503921508789,77.17401123046875,30.790119171142578
2022-09-15,577.709716796875,149.03846740722656,107.4634017944336,302.61663818359375,68.80769348144531,40.12263488769531,96.20823669433594,42.51382064819336,78.13003540039062,31.371915817260742
2022-09-16,572.5936279296875,146.1269989013672,106.7431640625,297.6797790527344,68.13460540771484,39.94083023071289,95.18785858154297,42.224185943603516,77.39530181884766,31.017377853393555
2022-09-19,579.8931274414062,148.303466796875,107.7278060913086,299.91546630859375,69.87896728515625,40.286251068115234,95.936767578125,42.338294982910156,78.53724670410156,31.535541534423828
2022-09-20,568.5462036132812,146.50881958007812,105.60352325439453,294.98779296875,69.53767395019531,39.459068298339844,94.89764404296875,41.469398498535156,77.182861328125,31.062833786010742
2022-09-21,555.5548706054688,141.95550537109375,102.55841064453125,292.6607971191406,69.12055206298828,38.422828674316406,93.13765716552734,40.661956787109375,76.44811248779297,30.135583877563477
2022-09-22,548.6204223632812,136.53346252441406,101.39139556884766,285.5521240234375,68.31473541259766,37.741092681884766,89.37435150146484,40.00371551513672,75.04060363769531,29.54469108581543
2022-09-23,540.2974853515625,133.88931274414062,99.504150390625,275.559814453125,67.2055435180664,36.73210906982422,87.79224395751953,38.84519577026367,72.15476989746094,28.844709396362305
2022-09-26,534.1397705078125,131.20689392089844,97.36164093017578,268.8526611328125,67.2055435180664,36.36852264404297,85.47059631347656,37.73057556152344,70.6056137084961,28.208362579345703
2022-09-27,528.612548828125,131.24513244628906,96.504638671875,265.89599609375,67.90706634521484,36.38669967651367,85.55484771728516,37.3795051574707,70.35775756835938,27.790193557739258
2022-09-28,534.8524780273438,134.1756591796875,98.4557113647461,274.4830017089844,69.44287109375,37.09571075439453,88.9718017578125,38.090415954589844,72.11934661865234,28.24472999572754
2022-09-29,515.2007446289062,131.53147888183594,96.78726959228516,270.2122802734375,68.86458587646484,36.81391525268555,87.69862365722656,37.203983306884766,70.69414520263672,27.872007369995117
2022-09-30,502.7392578125,128.7823028564453,95.2738265991211,267.419921875,68.13460540771484,36.559410095214844,86.28504180908203,36.57206344604492,69.94170379638672,27.45383644104004
2022-10-03,523.2405395507812,133.66017150878906,98.21865844726562,272.98638916015625,69.40496063232422,37.79563903808594,89.46795654296875,37.35318374633789,71.15445709228516,28.262907028198242
2022-10-04,540.2152709960938,138.8531036376953,102.81368255615234,287.33154296875,72.2585220336914,39.57724380493164,93.49341583251953,38.97685241699219,74.33242797851562,29.435606002807617
2022-10-05,532.76953125,137.8126220703125,101.54427337646484,281.9749755859375,71.98358917236328,39.3681755065918,92.62278747558594,38.476585388183594,73.57112884521484,29.01743507385254
2022-10-06,522.2265014648438,135.91299438476562,99.47455596923828,278.023681640625,72.04046630859375,38.39556121826172,90.55390930175781,37.792015075683594,71.97771453857422,28.59926414489746
2022-10-07,502.8489074707031,132.6865234375,97.48764038085938,274.74761962890625,70.44778442382812,37.986507415771484,87.87651062011719,37.02845001220703,69.87088012695312,27.953824996948242
2022-10-10,498.40869140625,131.26419067382812,96.57697296142578,274.2548828125,69.73676300048828,37.67746353149414,87.10887145996094,36.51062774658203,69.41056823730469,27.872007369995117
2022-10-11,485.2528381347656,131.1114501953125,93.78978729248047,268.4784851074219,67.98291778564453,36.56850051879883,87.7735366821289,35.50132751464844,68.16239929199219,27.062938690185547
